japanese,english
の,of
に,"at,to,in,into,on,upon"
する,do
は,teeth
を,of
た,rice field
が,But
年,Year
と,When
て,hand
で,so
だ,is
れる,Be
月,Month
いる,Be
ある,be
日,Day
も,and
から,from
なる,Become
ない,No
こと,Matter
第,First
として,As
や,or
市,City
県,Prefecture
者,person
など,Such
日本,Japan
人,Man
ため,For
駅,station
この,this
的,Talent
られる,Can
その,That
町,Town
へ,What
後,rear
まで,to
よう,NS
放送,broadcast
号,issue
名,Name
中,During ~
という,Say
また,Also
もの,thing
行う,conduct
一,one
回,times
部,Part
時,Time
家,House
か,mosquito
リンク,Link
村,village
郡,county
学校,school
より,Than
できる,can
線,line
おる,is
昭和,Showa
東京,Tokyo
番組,program
大,Big
により,By
会,Meeting
外部,external
現在,Current
画像,image
ぬ,NS
区,Ward
による,according to
二,two
国,Country
テレビ,TV set
世界,world
関連,connection
三,three
化,Transformation
せる,Make
前,Previous
映画,movie
によって,By
作品,the work
時代,Age
これ,this
位,Place
版,Edition
数,number
賞,award
本,Book
型,Mold
州,state
分,Minute
上,Up
話,Talk
元,Origin
登場,Appearance
間,while
社,Company
局,Station
項目,item
出演,Appearance
平成,Informal
地,Land
目,eye
道,road
曲,song
使用,use
他,other
持つ,Have
場合,case
性,sex
監督,directed by
軍,army
発売,Release
選手,player
新,new
大学,University
戦,War
ば,palce
代表,representative
所,Place
活動,Activity
研究,the study
呼ぶ,Call
機,Machine
系,system
う,Cormorant
内,Inside
情報,information
さ,difference
多い,many
について,about
次,Next
鉄道,Railway
脚注,footnote
等,etc
において,In
時間,time
主,main
チーム,team
それ,that
初,first time
のみ,only
万,Ten thousand
シリーズ,series
その後,afterwards
所属,Affiliation
役,Role
受ける,receive
科,Department
作曲,Composition
出身,where one is from
高等,High
開始,start
場,Place
公式,official
学,Science
しかし,However
アメリカ,America
存在,Existence
くる,come
作,Work
車,car
大会,Tournament
人物,person
たち,In
形,shape
ゲーム,game
一覧,List
語,word
バス,bus
株式会社,Ltd
法,Law
歳,age
大阪,Osaka
いう,say
音楽,music
お,Oh
同,same
当時,at that time
事業,business
歴史,history
可能,Possible
教育,education
式,formula
一部,part
見る,look
約,about
小学校,primary school
出場,Participation
ドラマ,Drama
全,all
国際,international
地域,area
開発,development
用,for
つ,NS
関係,relationship
収録,Recording
事,case
明治,Meiji
長,Length
期,Period
彼,he
際,edge
ら,and others
概要,Overview
使う,use
旧,Old
アルバム,album
アニメ,Anime
声,voice
および,and
会社,society
しまう,Be
円,circle
優勝,win
サイト,site
なお,note that
における,In
南,South
設置,Installation
十,Ten
開催,hold
下,under
作詞,Letter
北,North
度,Every time
巻,roll
世,world
力,Power
言う,To tell
出版,Publication
知る,know
王,king
変更,Change
担当,responsible person
たり,Or
廃止,abolition
委員,Committee
色,colour
都市,City
高,High
参加,Participation
利用,use
製作,Production
位置,position
店,shop
事件,Incident
中央,Center
名称,name
氏,Mr
市立,Municipality
一般,General
にて,In
だけ,only
級,Grade
都,Capital
以降,Or later
東,east
制作,Production
野球,baseball
設立,Establishment
センター,Center
試合,game
ん,Hmm
番,Number
高い,high
中心,center
番号,number
年度,year
年代,Age
機関,institution
発表,Presentation
その他,others
以上,that's all
同じ,same
現,Present
問題,problem
代,Substitute
ドイツ,Germany
いく,go
編,Editor
参考,reference
子,Child
及び,as well as
道路,road
郵便,Post
地方,Region
用いる,Use
社会,society
記録,record
多く,Many
リーグ,league
種,seed
中学校,junior high school
金,Money
路線,Route
点,point
中国,China
総,Total
以下,Less than
体,body
プロ,Professional
島,island
施設,institution
編曲,Arrangement
人口,population
丁目,Chome
文献,Literature
文化,culture
別,another
同年,same year
側,~ side
攻撃,attack
女性,woman
西,West
京都,Kyoto
ラジオ,radio
入る,come in
さらに,Moreover
交通,traffic
頃,Ancient times
サッカー,soccer
シングル,single
面,surface
クラブ,club
四,four
各,each
フランス,France
記念,anniversary
名前,name
所在地,location
自分,myself
手,hand
ほか,other
物,Stuff
務める,serve
川,river
選手権,Championship
協会,Association
最終,Last
含む,include
城,castle
イギリス,England
キャラクター,character
内容,Content
地区,district
必要,necessary
両,Both
終了,end
総合,Comprehensive
計画,plan
ファイル,File
女,woman
制,System
公開,Release
販売,sale
神,God
世紀,century
政治,Politics
表記,labels
艦,Ship
に対して,For
史,History
特別,special
技術,Technique
生,Living
漫画,Comic
館,Building
員,Employee
ながら,While
隊,Tenth
シーズン,Season
高校,high school
考える,think
全国,Whole country
結果,result
説明,explanation
選挙,selection
卒業,graduation
歌,song
経済,Economy
英語,English
競技,Competition
勝,Win
人間,human
台,Platform
でも,but
グループ,group
五,Five
女子,Girls
男,Man
営業,Sales
国道,National road
劇場,theater
父,father
科学,Science
戦争,war
自身,Oneself
とき,Time
枠,frame
以外,apart from
同様,Same
府,Fellow
指定,specify
得る,obtain
モデル,model
車両,vehicle
に関する,Relating to
うち,home
教授,Professor
馬,Horse
管理,management
北海道,Hokkaido
再,Again
と共に,"Together, with"
星,Star
構成,composition
枚,Sheet
列車,train
参照,reference
文庫,Paperback
当初,Initially
花,flower
メンバー,member
作る,make
影響,Impact
たい,sea ​​bream
異なる,different
受賞,Award
部分,part
秒,Second
サイズ,size
建設,construction
期間,period
伴う,Accompany
システム,system
山,Mountain
大きい,big
室,Room
出る,Come out
特に,especially
合併,merger
娘,daughter
とともに,With
最後,last
ので,So
政府,government
戦闘,fight
写真,Photo
団,Group
達,Accomplishment
製造,Manufacturing
小,small
議員,Lawmaker
最初,first time
組織,Organization
タイトル,title
構造,structure
ほど,So
獲得,Acquisition
組,set
かつて,Once
水,water
校,school
ただし,However
県立,Prefectoral
撮影,photograph
場所,place
企画,plan
官,Official
デビュー,debut
派,Faction
小説,novel
企業,Company
与える,give
通り,Street
広島,Hiroshima
権,Right
強い,strong
設定,Configuration
状態,Status
愛,Love
橋,bridge
条,Article
一つ,one
発生,occurrence
アメリカ合衆国,United States of America
テーマ,theme
主義,Principle
そして,and
年間,Annual
よる,evening
方,direction
物語,story
機能,function
最高,Best
航空,Aviation
成績,Grade
光,light
福岡,Fukuoka
公園,park
決定,Decision
海軍,Navy
それぞれ,Each
就任,Appointment
法人,Corporation
神社,shrine
描く,draw
デザイン,design
